Station,Local authority,Managed by,Station code,Fare zone,Year opened,Category,Coordinates
Bush Hill Park[7],Enfield,London Overground,BHK,5,1880,D,51.6418°N 0.0691°W
Caledonian Road & Barnsbury,Islington,London Overground,CIR,2,1850,E,51.5432°N 0.1145°W
Cambridge Heath,Tower Hamlets,London Overground,CBH,2,1872,F,51.5321°N 0.0572°W
Camden Road,Camden,London Overground,CMD,2,1870,D,51.5444°N 0.1401°W
Canada Water,Southwark,London Underground,ZCW,2,1999,unlisted,51.4983°N 0.0500°W
Cannon StreetLondon,City of London,Network Rail,CST,1,1866,A,51.5101°N 0.0912°W
Canonbury,Islington,London Overground,CNN,2,1869,F,51.5482°N 0.0925°W
Carpenders Park,Three Riversout-boundary,London Overground,CPK,7,1932,E,51.6290°N 0.3860°W
Carshalton,Sutton,Southern,CSH,5,1868,D,51.3686°N 0.1659°W
Carshalton Beeches[8],Sutton,Southern,CSB,5,1906,E,51.3577°N 0.1714°W
Castle Bar Park,Ealing,Great Western Railway,CBP,4,1906,E,51.5228°N 0.3323°W
Caterham,Tandridgeout-boundary,Southern,CAT,6,1856,D,51.28214°N 0.0783°W
Catford,Lewisham,Southeastern,CTF,3,1892,D,51.4447°N 0.0261°W
Catford Bridge,Lewisham,Southeastern,CFB,3,1857,D,51.4446°N 0.0250°W
Chadwell Heath,Redbridge,TfL Rail,CTH,5,1864,C,51.5678°N 0.1292°E
Chafford Hundred,Thurrockout-boundary,c2c,CFH,G,1993,E,51.4859°N 0.2876°E
Chalfont & Latimer,Buckinghamshireout-boundary,London Underground,CFO,8,1889,unlisted,51.6679°N 0.5610°W
Charing CrossLondon,Westminster,Network Rail,CHX,1,1864,A,51.5075°N 0.1231°W
Charlton,Greenwich,Southeastern,CTN,3,1849,D,51.4868°N 0.0310°E
Cheam,Sutton,Southern,CHE,5,1844,D,51.3560°N 0.2147°W
Chelsfield,Bromley,Southeastern,CLD,6,1868,D,51.3565°N 0.1076°E
Cheshunt,Broxbourneout-boundary,Greater Anglia,CHN,8,1846,C,51.7039°N 0.0221°W
Chessington North,Kingston upon Thames,South Western Railway,CSN,6,1939,D,51.3642°N 0.3005°W
Chessington South,Kingston upon Thames,South Western Railway,CSS,6,1939,E,51.3569°N 0.3080°W
Chingford,Waltham Forest,London Overground,CHI,5,1873,C,51.6331°N 0.0094°E
